company,city,state,industry,employees,intent topics,description,acct #
Smile Obsession,Glenview,Illinois,Hospitals & Physicians Clinics,95,,"Smile Obsession is a general, family, cosmetic, and multi-specialty dental practice in Glenview IL servicing Glenview, Naperville, Wheaton, Morton Grove, Northbrook, Park Ridge, Lisle, Aurora, Downers Grove, Woodridge, Downers Grove, Lombard, Carol Stream, and other neighborhoods. Founded on the premise that dentistry can be beautiful and enjoyable the company delivers on that by providing a new kind of patient experience. With the feel of something more like the local spa than a medical facility, the company provides a warm, welcoming, and relaxing environment complete with the company's friendly staff who are here to help you achieve the best smile possible. Cosmetic and general dentistry has come a long way over the years thanks to advancements in science and technology. Using state-of-the art tools and combining them with the comforts of life, at Smile Obsession, the company is able to provide each patient with a relaxing dental experience like no other, no matter what dental service brings them to the company. Smile Obsession's team is made up of general dentists and dental specialists making it a full service dental practice.",479460896
Solarus,Wisconsin Rapids,Wisconsin,Telecommunications,131,Disaster Recovery; Cloud Computing; Cloud Storage; Backup & Recovery Software; End-to-End Encryption; Digital Transformation; Cloud Data; Capacity Planning; Enterprise Resource Planning; Environmental Regulations; Energy Storage; Advanced Analytics; Generative AI; Data Center Migration; Business Intelligence; Enterprise Contact Center; Fraud Protection; Autonomous Intelligence and Agentic AI; Compliance; Advanced Threat Protection (ATP); Enterprise Collaboration; Artificial Intelligence; Dropbox; Enterprise Infrastructure; Business Continuity,"Founded in 1896, Solarus provides flexible residential and business options for Internet, phone, and TV. The company is headquartered in Wisconsin Rapids, Wisconsin.",161136778
Soundarya Inc.,Murlipura,Rajasthan,Retail,15,,"Soundarya specializes in hypoallergenic and anti-tarnish jewelry, offering a range of products including necklaces, earrings, rings, and bracelets. The company targets clients looking for high-quality, everyday wear jewelry that is both elegant and affordable. They provide free delivery on orders above a certain amount and offer discounts for first-time purchases. Soundarya emphasizes customer satisfaction with personalized support and a warranty on their products.",1340587994
Southfield Corp.,,,,,,,
Southlake/Tri-City Management Corp.,Merrillville,Indiana,Organizations,282,,"Geminus provides social services to children and families in Indiana, focusing on early childhood education, family services, and preventative programs. The organization partners with community-based health care providers and social service organizations to ensure access to high-quality and affordable programs that promote whole-person care. Geminus aims to build resilient communities by addressing the needs of families and offering support through various family service programs. Additionally, they focus on mental health promotion and substance misuse prevention through evidence-based strategies and community coalitions.",15745748
Specialty Manufacturers Inc.,Carmel,Indiana,Manufacturing,16,,"Specialty Manufacturers, Inc. is a plastic injection molding company located in the Heartland of America. They offer expertise and capabilities in manufacturing, along with a range of equipment and services. The company serves clients in need of high-quality plastic products and tooling solutions. Their commitment to quality is reflected in their certifications and past publications.",98894211
Specialty Promotions Inc.,,,,,,,
Spg-Fcm Ventures LLC,,,,,,,
Spins,Chicago,Illinois,Business Services,400,Environmental Regulations; Generative AI; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Big Data Software,"SPINS analyzes shopper preferences in relation to product development by using point-of-sale data from conventional retail, eCommerce, and natural product channels, along with detailed product information. It converts product data into standardized attributes, allowing retailers, brands and partners to better understand the products they produce, stock and sell in relation to consumer behavior. These attributes support consistent communication and coordination across the broader market.",36012618
Spooner Health System Inc.,Spooner,Wisconsin,Hospitals & Physicians Clinics,124,,"Spooner Health is a critical access hospital located in Spooner, WI, dedicated to providing compassionate and comprehensive healthcare services to the local community. The hospital offers a wide range of services including emergency care, rehabilitation, diagnostic imaging, and various specialty treatments. With a patient-centered approach, Spooner Health emphasizes personalized care and strong communication between healthcare providers and patients. The organization is also committed to community engagement through health events and educational programs aimed at promoting wellness and preventive care.",36045455
Springfield Electric,Springfield,Illinois,Retail,350,,"Springfield Electric Supply, established in 1912 and headquartered in Springfield, Illinois, is an electrical supply and residential lighting company.",90276446
SSIMED,Chicago,Illinois,Finance,11,App Analytics Companies,"SE Capital Partners, LLC is an investment firm that focuses on identifying and managing investment opportunities. The company employs a strategic approach to investment criteria, ensuring that they align with their portfolio goals. They cater to a diverse range of clients looking for expert guidance in capital investment. SE Capital also showcases its expertise through various case studies that highlight successful investments.",45253299
St Joseph Regional Medical Center,Lewiston,Idaho,Hospitals & Physicians Clinics,576,End-to-End Encryption; Generative AI; Environmental Regulations; Application Performance; Autonomous Intelligence and Agentic AI; Enterprise Infrastructure; Artificial Intelligence; Big Data Software,"St. Joseph Regional Medical Center, located in Lewiston, Idaho, is a full-service regional medical center between Boise and Spokane and specializes in providing specialty healthcare.",136364178
St. Camillus Health System Inc.,Wauwatosa,Wisconsin,Healthcare Services,497,,"St. Camillus A Life Plan Community is a non-profit organization located in Milwaukee, WI, dedicated to providing a range of senior care services including Independent Living, Assisted Living, Memory Care, Skilled Nursing, and Home & Community Based Services. With over a century of experience, the community focuses on enriching the lives of seniors through mission-driven care and exceptional service. The campus features beautifully designed residences and offers a variety of wellness, culinary, and spiritual programs to enhance the quality of life for its residents. St. Camillus aims to provide peace of mind, security, and support for seniors as they navigate their aging journey.",79905994
St. Margaret's Hospital,Spring Valley,Illinois,Hospitals & Physicians Clinics,645,,"Founded in 1903, St. Margaret's Hospital is a Catholic healthcare organization that services residents in the Illinois Valley. The company is based in Spring Valley, Illinois.",36307356
STATS LLC,Chicago,Illinois,Media & Internet,97,,"STATS is the world's leading sports data and technology company. From data feeds to content and athlete monitoring, STATS has solutions for pro teams and sports media companies!",1107049184
Steinhafels Inc.,Kenosha,Wisconsin,Retail,665,Generative AI,"Established in 1934, Steinhafels, Inc. specializes in the retail sale of household furniture. The company is located in Brookfield, Wisconsin.",108052682
Sterling Fluid Systems (usa) LLC,,,,,,,
Stevens Construction,Madison,Wisconsin,Construction,269,Environmental Regulations; Autonomous Intelligence and Agentic AI,"Stevens Construction Corp. serves an array of clients in industries and markets that include commercial/office, multi-family residential, hospitality, financial, restaurant/food service and recreational facilities, such as water parks. The company was founded in 1952 and is headquartered in Madison, Wisconsin.",100860164
Stevenson Crane Service,Bolingbrook,Illinois,Construction,202,App Analytics Companies; Environmental Regulations; Energy Storage; Autonomous Intelligence and Agentic AI,"Stevenson Crane Service, Inc. is a leading provider of crane and aerial lift rentals, sales, and services, operating nationwide with a strong presence in Chicago and the surrounding areas. The company specializes in rigging, heavy haul transport, and machinery moving, catering to the construction, industrial, mechanical, and manufacturing sectors. With over twenty years of expertise, Stevenson Crane ensures safe and efficient project execution tailored to the unique challenges of each job. Their commitment to customer satisfaction is reflected in their comprehensive service offerings and dedicated support throughout the project lifecycle.",112033942
Stone Belt Arc Inc.,Columbus,Indiana,Organizations,408,End-to-End Encryption; Autonomous Intelligence and Agentic AI,"Stone Belt Arc is a not for profit organization that offers programs and services to disabled and handicapped individuals. Their programs include construction of homes for disabled citizens; job placement assistance and job training; manufacturing services that focuses on light assembly work, product packaging, mailing, psychological assessments and behavioral support plan. Founded in 1958, Stone Belt is headquartered in Bloomington, IN.",91701934
Strategic Hotel Capital L.L.C.,,,,,,,
Streamline,,,,,,,
Strive Group LLC,Anchorage,Alaska,Business Services,464,,The STRIVE Group enables ideas - investing in the intentional journey of leadership discovery - sharing openly to accelerate and inspire change. The STRIVE Group enables ideas - investing in the intentional journey of leadership discovery - sharing openly to accelerate and inspire change. The STRIVE Group enables ideas - investing in the intentional journey of leadership discovery - sharing openly to accelerate and inspire change.,400822216
Strive Logistics,Chicago,Illinois,Transportation,322,,"Strive Logistics, LLC provides third-party transportation logistics services. The company offers dry van, temperature-controlled, flatbed, less-than-truckload, intermodal, drayage, rail, air, international, and ocean transportation services, as well as freight brokerage, freight management, and enterprise services. Strive Logistics, LLC was formerly known as World Distribution Group. The company was founded in 1995 and is based in Chicago, Illinois with an additional location in Austin, Texas.",366156806
Sumitomo Electric Wiring Systems Inc.,Bowling Green,Kentucky,Manufacturing,2630,Cloud Backup & Recovery; Generative AI; Fraud Protection; Enterprise Resource Planning; Environmental Regulations; Energy Storage; Autonomous Intelligence and Agentic AI; Enterprise Infrastructure; Artificial Intelligence,"Founded in 1986, Sumitomo Electric Wiring Systems is a company that manufacturers electric wire and optical fiber cables. Sumitomo Electric Wiring Systems is located in Kentucky.",454517486
Superior Bulk Logistics Inc.,Oak Brook,Illinois,Transportation,1934,,"Superior Bulk Logistics, headquartered in Oak Brook, Illinois, is a provider of bulk truck and trans-loading services for both food grade and chemical products.",115769541
Superior Oil Company Inc.,Indianapolis,Indiana,Retail,300,,"Superior Oil Company is a family owned company located in Phoenixville, PA servicing Southeastern Pennsylvania including Chester, Berks and part of Lancaster counties. The company's employees' commitment to serve the company's community has made the company a contender in the energy business. Now the company need your energy to help the company continue to deliver the high level of satisfaction and service that the company's customers expect and deserve! Superior Oil Company is currently seeking SeasonalDelivery Drivers for the upcoming heating season and to be the primary point of contact with the company's customers. The company is seeking experienced and professional drivers who can provide safe, reliable, prompt, and courteous delivery of heating oil and propane gas to residential and commercial accounts. If you are a responsible, dedicated individual with outstanding driving and people skills with the ability to thrive in a fast-paced environment then the company would like to hear from you! The ideal candidate will possess the following: HS Diploma or equivalent CDL class A or B w/clean driving record. Hazmat, tanker, and air brakes endorsements required Ability to lift heavy objects Ability to work outside in varying weather/driving conditions Ability to work a flexible schedule with after hours emergency call-outs Ability to communicate clearly and effectively to convey information to new and existing customers Excellent customer service skills Desire to succeed in a team environment Prior propane gas delivery and heating oil experience preferred Please email resume to jwilcox@superioroilcompany.com Comments are closed.",556106714
SV Ventures,,,,,,,
Tct Ministries Inc.,Marion,Illinois,Media & Internet,112,,"TCT Ministries offers a variety of Christian programming, including live broadcasts, interviews, and educational content aimed at encouraging and informing believers. Their shows, such as 'Ask the Pastor' and 'Frankly Speaking', provide biblical perspectives on current events and personal inquiries. The ministry targets a diverse audience of Christians seeking spiritual growth and community engagement through various media platforms. Additionally, TCT Ministries collaborates with other ministries to extend their reach and impact in the Christian community.",406836159
Tech Credit Union,Crown Point,Indiana,Finance,141,Backup & Recovery Software; Environmental Regulations; Autonomous Intelligence and Agentic AI,"Tech Credit Union operates branches in Northwest Indiana and the South Chicago Suburbs, providing a range of personal and business banking services. Their offerings include various deposit accounts, loans, and financial management tools. The credit union aims to serve both individual and corporate clients with a focus on local roots and trusted service. Tech Credit Union emphasizes community engagement and financial health for its members.",344635824
The B F Shaw Printing Company,Crystal Lake,Illinois,Media & Internet,304,Fraud Protection; Environmental Regulations; Compliance,"Founded in 1851 and headquartered in Crystal Lake, Illinois, Shaw Media is a company that provides newspaper covering current happenings within the respective area.",345997818
The Collins Group,,,,,,,
The Farmers Bancorp Frankfort Indiana,Frankfort,Indiana,Finance,163,Enterprise Contact Center; Environmental Regulations; Big Data Software,"The Farmers Bank is a locally owned and operated financial institution with 11 banking offices in Central Indiana. They offer a wide range of services including retail banking, business loans, trust and asset management, investment services, mortgage options, and electronic banking. Their intended clients include individuals seeking personal banking solutions, businesses requiring financial support, and those interested in investment and trust services. The bank emphasizes community involvement and customer support throughout their services.",63310603
The H Group B B T Inc.,West Frankfort,Illinois,Business Services,4,,"The H Group B B T Inc is a company that operates in the Information & Document Management industry. It employs 1to4 people and has under500K of revenue. The company is headquartered in West Frankfort, Illinois.",1279928532
The Lutheran Home Inc.,,,,,,,
The Maschhoffs,Carlyle,Illinois,Agriculture,1223,Environmental Regulations; Artificial Intelligence,"Established in 1851, The Maschhoffs is a pork production company. They are headquartered in Carlyle, Illinois.",31737167
The Morgridge Institute For Research Inc.,Madison,Wisconsin,Business Services,262,Generative AI; Environmental Regulations; Autonomous Intelligence and Agentic AI; Artificial Intelligence,"As an independent research organization, the Morgridge Institute for Research explores uncharted scientific territory to discover tomorrow's cures. In affiliation with the University of Wisconsin-Madison, the company supports researchers who take a fearless approach to advancing human health in emerging fields such as regenerative biology, metabolism, virology and medical engineering. Through public programming, the company works to inspire scientific curiosity in everyday life.",352384388
The Onion,Chicago,Illinois,Media & Internet,155,Generative AI; Environmental Regulations,"The Onion is a satirical news organization that provides humorous takes on current events, politics, entertainment, and sports. It aims to entertain a wide audience with its unique brand of comedy and commentary on societal issues. The company also offers a membership option for readers who wish to support its work and access exclusive content. Additionally, The Onion operates an online store where fans can purchase merchandise related to its brand.",76367231
The Papers Inc.,,,,,,,
The Room Place,Lombard,Illinois,Retail,568,Autonomous Intelligence and Agentic AI,"The RoomPlace is a Midwest's furniture retailer. The company was founded in 1912 and is headquartered in Lombard, Illinois.",245432715
The Villages of Indiana Inc.,Bloomington,Indiana,Organizations,360,,"The Villages of Indiana is a nonprofit organization dedicated to providing foster care, adoption services, and support for families in need. They offer a range of programs including Healthy Families, Kinship Care, and telehealth services aimed at nurturing children and strengthening families. Their intended clients include children in foster care, new parents, and families facing challenges such as diaper need. The organization also engages in community outreach and volunteer opportunities to further support their mission.",344886856
The Young Men's Christian Association of Appleton,Appleton,Wisconsin,Organizations,8,,"Young Men's Christian Association of the Fox Cities Inc is a company that operates in the Membership Organizations industry. It employs 5to9 people and has 10Mto25M of revenue. The company is headquartered in Appleton, Wisconsin.",1270749711
Thermotron Industries,Holland,Michigan,Manufacturing,350,,Thermotron develops and refines environmental testing solutions that set industry standards. Their range of products cover a multitude of environmental stresses that are capable of simulating single or multiple environmental use conditions in a variety of testing programs.,38126283
Thouvenot Wade & Moerchen Inc.,Swansea,Illinois,Construction,104,Digital Transformation; Generative AI,"TWM provides Civil, Structural & Rail Engineering, Land Surveying and other Geospatial Services to the St. Louis metropolitan area, as well as throughout Illinois, Missouri and beyond. With over 70 years of consulting experience, TWM has developed expertise with a broad range of projects, including: commercial, industrial, institutional and residential site design, roadways, railways, bridges, water, wastewater, municipal, and GIS.",56967867
Thunderbird LLC,Oak Brook,Illinois,Holding Companies & Conglomerates,434,Digital Transformation; Generative AI,"Thunderbird LLC specializes in acquiring and investing in American companies to foster long-term growth and success. The company employs a strategic business model that emphasizes active management and continuous improvement, enabling its partner companies to reach their full potential. With a commitment to excellence, teamwork, and innovation, Thunderbird empowers its family of companies to thrive in competitive markets. By investing its own resources, Thunderbird ensures that its companies are not just numbers in a portfolio but are positioned for meaningful development and success.",365483124
Tipmont Remc,Linden,Indiana,"Energy, Utilities & Waste",115,Autonomous Intelligence and Agentic AI,"Tipmont is a Rural Electric Membership Cooperative serving eight counties around Lafayette and Crawfordsville, Indiana, providing reliable electric and internet services. The company focuses on empowering communities through energy-efficient solutions, in-home energy assessments, and fiber internet expansion. Their intended clients include residential and business customers seeking dependable utility services and community support. Tipmont is committed to high customer satisfaction and actively engages in community development initiatives.",38355497
TMK IPSCO,Houston,Texas,Manufacturing,1638,,"Founded in 2008, TMK IPSCO is an american producer of welded and seamless pipe connections. TMK IPSCO offers threading, field and testing services along with their tubular products. TMK IPSCO is headquartered out of Houston, Texas.",70275006
Town Financial Corp.,Des Moines,Iowa,Finance,16,Fraud Protection; Environmental Regulations,"Town Financial Corp has been providing personal loans to the Des Moines area since 1964, specializing in loans up to $5,000 and above for various needs. The company caters to clients with less-than-perfect credit, offering flexible terms, convenient due dates, and affordable monthly payments. With two locations in Des Moines, applications can be submitted over the phone, in person, or online, often yielding results in as little as one hour. Town Financial is recognized for its reliability and trustworthiness, having served the community for over 50 years.",140820634
TransCorr LLC,,,,,,,
Transparent Dental Group,Oakbrook Terrace,Illinois,Hospitals & Physicians Clinics,18,,"Transparent Dental Group LLC is a company that operates in the Dental Offices industry. It employs 10to19 people and has 500Kto1M of revenue. The company is headquartered in Oakbrook Terrace, Illinois.",1330433052
TRD Manufacturing,University Park,Illinois,Manufacturing,340,Enterprise Contact Center,"Bimba, headquartered in University Park, Illinois, is a manufacturer of pneumatic, hydraulic, electric and vacuum motion solutions.",4719046
TricorBraun,St. Louis,Missouri,Manufacturing,2000,Cloud Computing; Application Performance; Enterprise Resource Planning; Environmental Regulations; Database Solutions; Advanced Threat Protection (ATP); Capacity Planning; Enterprise Infrastructure; Digital Transformation; Big Data Software; Energy Storage; Compliance,"TricorBraun is a global packaging solutions company that specializes in helping brands navigate the complexities of packaging procurement, design, supply chain management, and sustainability. Serving a diverse range of industries, including healthcare, food and beverage, personal care, home care, animal health, and alcoholic beverages, the company partners with businesses of all sizes, from emerging brands to established market leaders. Its customer-centric approach focuses on delivering tailored packaging solutions that align with each clients operational, budgetary, and brand objectives.",288522377
Truth Publishing Company Inc.,,,,,,,
Uhlich Children's Advantage Network,Chicago,Illinois,Organizations,393,Environmental Regulations,"Founded in 1869 and headquartered in Chicago, Illinois, UCAN provides social services to youth who have suffered trauma. The organization provides programs for preventing violence, healing trauma, building strong families, and education support.",108249408
Union Bancorporation,Salt Lake City,Utah,Organizations,5,,"Union Bancorporation is a company that operates in the Membership Organizations industry. It employs 5to9 people and has 1Mto5M of revenue. The company is headquartered in Salt Lake City, Utah.",1221411934
Union League Club of Chicago,Chicago,Illinois,Organizations,84,,"Union League Club of Chicago is a company that operates in the Membership Organizations industry. It employs 50to99 people and has 5Mto10M of revenue. The company is headquartered in Chicago, Illinois.",1267964275
Uniper Global Commodities North America LLC,Duesseldorf,North Rhine-Westphalia,"Energy, Utilities & Waste",6770,Data Center Migration; Flash Storage; Autonomous Intelligence and Agentic AI; Artificial Intelligence; Energy Storage,"Headquartered Duesseldorf, Germany, Uniper SE operates as an international energy company. The Company owns and manages a portfolio of power plants located across Europe and Russia, as well as focuses on commodity trading business, such as power, emission certificates, natural gas, liquefied natural gas, coal, and freight. Uniper also operates power and gas storage facilities.",373135330
United Leasing,,,,,,,
UNITED SCRAP METAL,Cicero,Illinois,"Energy, Utilities & Waste",550,Generative AI; Amazon Web Services (AWS); Autonomous Intelligence and Agentic AI,"Founded in 1978, United Scrap Metal is one of the largest & fastest-growing, privately held, providers of innovative recycling solutions in the country. United Scrap Metal is headquartered in Cicero, Illinois.",75350642
United Way of Central Indiana Inc.,Indianapolis,Indiana,Organizations,121,Enterprise Resource Planning; Business Intelligence,"United Way of Central Indiana is a community development organization dedicated to designing, supporting, and growing systems that accelerate financial stability and upward mobility for individuals and families living in or near poverty throughout the Central Indiana region. The organization partners with community stakeholders to create pathways toward economic well-being and improved quality of life, with a particular focus on addressing systemic barriers that disproportionately affect vulnerable populations. United Way of Central Indiana recognizes that racism and ethnic discriminationboth implicit and explicitpresent significant obstacles to economic opportunity and community thriving, and the organization is committed to actively opposing these barriers through its programs, advocacy, and community engagement efforts. The organization leverages its resources, influence, and convening power to advance racial and ethnic equity across Central Indiana, working to amplify the voices of all community members while demonstrating respect and fostering inclusive dialogue. United Way of Central Indiana believes that sustainable community progress requires embedding diversity and inclusion throughout its operations and initiatives, and the organization strives to maximize impact by creating an environment where the unique perspectives and creativity of individuals drive innovation in addressing poverty and inequality. While acknowledging that perfection is not achievable, United Way of Central Indiana remains committed to accelerating measurable progress toward equitable outcomes for children, individuals, and families across the region. The organization's approach centers on listening, learning, and collaborative problem-solving with community partners and residents, positioning itself as an active leader in building a Central Indiana community where all neighbors care for one another and residents of all backgrounds have genuine opportunities to achieve economic stability and upward mobility.",149487625
Urschel Laboratories Inc.,Chesterton,Indiana,Manufacturing,361,Generative AI; Energy Storage; Autonomous Intelligence and Agentic AI,"Founded in 1910, Urschel Laboratories designs manufactures and sells precision food cutting solutions such as commercial potato chip slicers, high capacity cheese shredders, and dicers for fruit and vegetables. Urschel Laboratories is headquartered in Chesterton, Indiana.",40108257
USA Clean,,,,,,,
Valeo,Paris,Ile-de-France,Manufacturing,106100,App Analytics Companies; Cloud Storage; End-to-End Encryption; Generative AI; Application Performance; Fraud Protection; GitHub; Cloud Computing; Cloud Data; File Sharing; Environmental Regulations; Database Solutions; Advanced Analytics; Enterprise Contact Center; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Encryption; Artificial Intelligence; Dropbox; Docker; Energy Storage; Big Data Software; Enterprise Infrastructure,"Founded in 1923, Valeo is an automotive supplier and partner to automakers worldwide. They are also a technology company that designs innovative solutions for smart mobility, with a particular focus on intuitive driving and reducing CO2 emissions. The Group also provides and distributes spare parts for automakers and independent aftermarket operators. The company is headquartered in Paris, France.",40566862
Valeo Climate Control,Paris,Ile-de-France,Manufacturing,106100,App Analytics Companies; Cloud Storage; End-to-End Encryption; Generative AI; Application Performance; Fraud Protection; GitHub; Cloud Computing; Cloud Data; File Sharing; Environmental Regulations; Database Solutions; Advanced Analytics; Enterprise Contact Center; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Encryption; Artificial Intelligence; Dropbox; Docker; Energy Storage; Big Data Software; Enterprise Infrastructure,"Founded in 1923, Valeo is an automotive supplier and partner to automakers worldwide. They are also a technology company that designs innovative solutions for smart mobility, with a particular focus on intuitive driving and reducing CO2 emissions. The Group also provides and distributes spare parts for automakers and independent aftermarket operators. The company is headquartered in Paris, France.",40566862
Valeo Climate Control Corp.,Paris,Ile-de-France,Manufacturing,106100,App Analytics Companies; Cloud Storage; End-to-End Encryption; Generative AI; Application Performance; Fraud Protection; GitHub; Cloud Computing; Cloud Data; File Sharing; Environmental Regulations; Database Solutions; Advanced Analytics; Enterprise Contact Center; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Encryption; Artificial Intelligence; Dropbox; Docker; Energy Storage; Big Data Software; Enterprise Infrastructure,"Founded in 1923, Valeo is an automotive supplier and partner to automakers worldwide. They are also a technology company that designs innovative solutions for smart mobility, with a particular focus on intuitive driving and reducing CO2 emissions. The Group also provides and distributes spare parts for automakers and independent aftermarket operators. The company is headquartered in Paris, France.",40566862
Valeo Electrical Systems Inc.,Paris,Ile-de-France,Manufacturing,106100,App Analytics Companies; Cloud Storage; End-to-End Encryption; Generative AI; Application Performance; Fraud Protection; GitHub; Cloud Computing; Cloud Data; File Sharing; Environmental Regulations; Database Solutions; Advanced Analytics; Enterprise Contact Center; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Encryption; Artificial Intelligence; Dropbox; Docker; Energy Storage; Big Data Software; Enterprise Infrastructure,"Founded in 1923, Valeo is an automotive supplier and partner to automakers worldwide. They are also a technology company that designs innovative solutions for smart mobility, with a particular focus on intuitive driving and reducing CO2 emissions. The Group also provides and distributes spare parts for automakers and independent aftermarket operators. The company is headquartered in Paris, France.",40566862
Valeo Inc.,Paris,Ile-de-France,Manufacturing,106100,App Analytics Companies; Cloud Storage; End-to-End Encryption; Generative AI; Application Performance; Fraud Protection; GitHub; Cloud Computing; Cloud Data; File Sharing; Environmental Regulations; Database Solutions; Advanced Analytics; Enterprise Contact Center; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Encryption; Artificial Intelligence; Dropbox; Docker; Energy Storage; Big Data Software; Enterprise Infrastructure,"Founded in 1923, Valeo is an automotive supplier and partner to automakers worldwide. They are also a technology company that designs innovative solutions for smart mobility, with a particular focus on intuitive driving and reducing CO2 emissions. The Group also provides and distributes spare parts for automakers and independent aftermarket operators. The company is headquartered in Paris, France.",40566862
Valeo Sylvania,Seymour,Indiana,Manufacturing,9,Amazon Web Services (AWS),"Valeo Sylvania is a company that operates in the Household Goods industry. It employs 5to9 people and has 1Mto5M of revenue. The company is headquartered in Seymour, Indiana.",1116070105
Valeo Wiper Systems,Paris,Ile-de-France,Manufacturing,106100,App Analytics Companies; Cloud Storage; End-to-End Encryption; Generative AI; Application Performance; Fraud Protection; GitHub; Cloud Computing; Cloud Data; File Sharing; Environmental Regulations; Database Solutions; Advanced Analytics; Enterprise Contact Center; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Encryption; Artificial Intelligence; Dropbox; Docker; Energy Storage; Big Data Software; Enterprise Infrastructure,"Founded in 1923, Valeo is an automotive supplier and partner to automakers worldwide. They are also a technology company that designs innovative solutions for smart mobility, with a particular focus on intuitive driving and reducing CO2 emissions. The Group also provides and distributes spare parts for automakers and independent aftermarket operators. The company is headquartered in Paris, France.",40566862
Valuation Research,Chicago,Illinois,Business Services,300,Generative AI; Environmental Regulations; Autonomous Intelligence and Agentic AI; Advanced Threat Protection (ATP),"Valuation Research Corporation (VRC) is a full-service, independent, global valuation firm focusing exclusively on valuations and advisory services.",40584280
Van Rooy Properties Inc.,Indianapolis,Indiana,Real Estate,142,,"Van Rooy Properties, based in Indianapolis, specializes in property management, real estate development, and restoration services, providing comprehensive property and apartment management across Indiana and the Midwest. The company is committed to historic restoration and enhancing underperforming assets, which positively influences local communities. With over 45 years of experience, they have successfully managed more than 10,000 units and 70 buildings. Their approach centers on culture, attention to detail, and achieving results, making them a recognized leader in the industry.",111428554
Venturedyne Ltd.,Pewaukee,Wisconsin,Holding Companies & Conglomerates,592,,"Venturedyne Ltd provides environmental testing services. The Company offers test system integration, screening, simulation equipment, magnetic separators, sweepers, and dust collector systems. As a holding company, Venturedyne owns and manages Thermorton, Boyd Power Press, Carnes, Scientific Dust Collectors, dings, Climet, and Advanced Detection Systems",353932647
Veralto,Waltham,Massachusetts,Manufacturing,17000,Environmental Regulations; Energy Storage; Autonomous Intelligence and Agentic AI,"Veralto is a global industrial technology company (spun out of Danaher in 2023) focused on water quality and product quality. Through brands such as Hach, Trojan Technologies, ChemTreat, Esko, and Videojet, it provides instruments, analyzers, sensors, software, and services used to test and treat water and wastewater, and to enable marking, coding, color management, and packaging integrity across food, beverage, pharma, and other industries.",566162553
Vernon Memorial Healthcare Company,Viroqua,Wisconsin,Hospitals & Physicians Clinics,555,File Sharing; Energy Storage; Compliance; Dropbox,"Vernon Memorial Healthcare provides personalized care and advanced medical services to support the health and well-being of the community in Wisconsin. Their extensive range of services includes emergency care, specialty services, rehabilitation, and education classes. The intended clients are individuals seeking comprehensive healthcare solutions, including families and children. The organization emphasizes quality care and community involvement, ensuring exceptional healthcare is accessible close to home.",40780882
Vhc Inc.,,,,,,,
Virent Energy,,,,,,,
Vna Home Health Inc.,,,,,,,
Vortex Optics,Barneveld,Wisconsin,Manufacturing,292,Autonomous Intelligence and Agentic AI; Compliance,"Vortex Optics, founded in 2004 and headquartered in Barneveld, Wisconsin, is a manufacturer of optical equipment for hunting, bird watching, outdoor recreational sports, and law enforcement.",128270748
Wabash General Hospital,Mount Carmel,Illinois,Hospitals & Physicians Clinics,315,All Flash Array,"Wabash General Hospital provides high-quality, compassionate, and cost-effective healthcare services to the residents of Wabash County and surrounding communities. Their extensive range of services includes primary care, surgical services, orthopaedics, and various specialized medical treatments. The hospital is dedicated to enhancing the quality of life for all generations and aims to be the healthcare destination of choice for the community. With a commitment to patient-centered care, Wabash General Hospital emphasizes collaboration with local businesses and organizations to improve community health.",41272086
Walker Information Inc.,Indianapolis,Indiana,Business Services,120,,"Walker is a consulting firm specializing in B-to-B customer experiences. Helping businesses for 75 years, Walkers diverse team of consultants provides tailored, comprehensive solutions to help companies achieve their business objectives and grow shareholder value. Walker specializes in customer retention and growth, using predictive analytics and other innovative approaches. Walker works with some of the worlds most influential businesses as well as emerging organizations of all sizes. For more information, please visit www.walkerinfo.com.",128647303
Waterfurnace International,Fort Wayne,Indiana,Manufacturing,285,Generative AI; Fraud Protection; Endpoint Protection; Environmental Regulations; Data Center Migration; Autonomous Intelligence and Agentic AI; Advanced Threat Protection (ATP),"WaterFurnace International, Inc. is a geothermal company. It offers home heating and cooling and water heating. The company was established in 1983 and is headquartered in Fort Wayne, Indiana.",122191945
Watertown Regional Medical Center,Watertown,Wisconsin,Hospitals & Physicians Clinics,444,Digital Transformation; Generative AI; Environmental Regulations; Flash Storage,"Watertown Regional Medical Center is located in Watertown, Wisconsin. Watertown Regional Medical Center operates a regional health system that provides primary and specialty healthcare, wellness, and disease prevention services.",96354372
Wausau Paper Corp.,Mosinee,Wisconsin,Manufacturing,750,,"Wausau Paper provides exceptional service, at every level, to satisfy our customers. From sales to customer service, we commit ourselves not only to providing the right products, but delivering on time and shipping with methods that reduce our impact on the environment. Our sales and customer service personnel provide service tailored to meet customer's needs.",41550324
Wcn Bancorp Inc.,,,,,,,
